"expo","outcome","mean","low95ci","up95ci"
"A09","A41",0.05937,0.05382,0.06492
"A09","B37",0.02479,0.02107,0.02851
"A09","B95",0.01402,0.01092,0.01712
"A09","B96",0.03389,0.02921,0.03856
"A09","C18",0.00053,-0.00145,0.00252
"A09","C34",-0.00123,-0.00293,0.00047
"A09","C44",-0.01801,-0.02051,-0.01551
"A09","C50",-0.02192,-0.02486,-0.01898
"A09","C77",0.00203,-0.00114,0.0052
"A09","C78",0.01674,0.01264,0.02083
"A09","C79",0.01424,0.01063,0.01784
"A09","D05",-0.00592,-0.00698,-0.00487
"A09","D12",0.01081,0.00626,0.01536
"A09","D17",-0.00297,-0.0044,-0.00155
"A09","D22",-0.00448,-0.00571,-0.00326
"A09","D23",-0.00327,-0.00425,-0.0023
"A09","D25",-0.00742,-0.01017,-0.00468
"A09","D50",0.01713,0.01248,0.02178
"A09","D64",0.02921,0.02394,0.03449
"A09","D70",0.03147,0.02712,0.03581
"A09","E03",-0.01275,-0.01754,-0.00796
"A09","E04",-0.00282,-0.00399,-0.00165
"A09","E05",0.00164,-0.00032,0.0036
"A09","E11",-0.00162,-0.00575,0.00251
"A09","E55",0.01163,0.00863,0.01462
"A09","E66",0.00394,-0.00133,0.0092
"A09","E78",-0.01467,-0.02044,-0.0089
"A09","E83",0.03682,0.03251,0.04113
"A09","E86",0.06643,0.06107,0.07179
"A09","E87",0.08857,0.08199,0.09516
"A09","F05",0.01755,0.01464,0.02047
"A09","F10",0.00088,-0.00098,0.00273
"A09","F17",-0.00287,-0.00672,0.00098
"A09","F32",0.01447,0.0089,0.02005
"A09","F41",0.02143,0.0161,0.02676
"A09","G40",-0.00037,-0.00204,0.00129
"A09","G43",0.00319,0.00028,0.00611
"A09","G47",-0.00086,-0.00282,0.00109
"A09","G55",-0.00501,-0.00675,-0.00327
"A09","G56",-0.01299,-0.01489,-0.01109
"A09","H02",-0.00531,-0.00705,-0.00357
"A09","H04",-0.00281,-0.00435,-0.00127
"A09","H25",-0.01869,-0.02258,-0.0148
"A09","H26",-0.02473,-0.02907,-0.02038
"A09","H35",-0.0052,-0.00773,-0.00267
"A09","H40",-0.0049,-0.0075,-0.0023
"A09","H52",-0.00436,-0.00687,-0.00186
"A09","H53",0.00095,-0.00126,0.00317
"A09","H91",0.00286,2e-04,0.00552
"A09","I08",0.0091,0.00651,0.01169
"A09","I10",-0.0046,-0.01428,0.00508
"A09","I20",-0.00803,-0.01053,-0.00553
"A09","I21",-0.00021,-0.00216,0.00174
"A09","I25",-0.00322,-0.00698,0.00054
"A09","I26",0.00882,0.00588,0.01176
"A09","I34",-0.00029,-0.00204,0.00146
"A09","I35",0.00067,-0.00105,0.00238
"A09","I44",0.00304,0.00056,0.00551
"A09","I47",0.00092,-0.00086,0.0027
"A09","I48",0.01288,0.00849,0.01727
"A09","I49",0.00167,-0.00029,0.00363
"A09","I50",0.01091,0.00785,0.01398
"A09","I51",0.0129,0.00959,0.01621
"A09","I63",0.00014,-0.00184,0.00212
"A09","I67",0.00882,0.00608,0.01157
"A09","I73",0.00298,0.00049,0.00547
"A09","I80",0.00569,0.00327,0.0081
"A09","I83",-0.00628,-0.008,-0.00456
"A09","I84",0.00389,-0.00034,0.00813
"A09","I95",0.04102,0.03602,0.04602
"A09","J18",0.04829,0.04281,0.05377
"A09","J22",0.01993,0.01596,0.0239
"A09","J34",-0.00322,-0.00446,-0.00198
"A09","J44",0.00198,-0.00122,0.00519
"A09","J45",-0.01996,-0.02483,-0.01509
"A09","J47",0.00195,-8e-05,0.00398
"A09","J90",0.03374,0.02913,0.03834
"A09","J96",0.01912,0.01586,0.02238
"A09","J98",0.02464,0.0206,0.02869
"A09","K02",-0.00308,-0.0045,-0.00166
"A09","K13",-0.002,-0.00355,-0.00045
"A09","K20",0.0011,-0.00177,0.00397
"A09","K21",0.01133,0.00487,0.01778
"A09","K22",-0.00027,-0.00336,0.00281
"A09","K25",0.00266,0.00032,0.005
"A09","K29",0.01172,0.00548,0.01795
"A09","K30",-0.00689,-0.00966,-0.00411
"A09","K31",0.00314,-0.00057,0.00685
"A09","K43",0.00377,0.00165,0.00588
"A09","K44",-0.00115,-0.00702,0.00473
"A09","K52",0.02257,0.01773,0.0274
"A09","K56",0.02691,0.0228,0.03102
"A09","K57",0.06432,0.05623,0.0724
"A09","K58",0.02459,0.02005,0.02912
"A09","K59",0.10594,0.09811,0.11378
"A09","K62",0.02808,0.02235,0.0338
"A09","K63",0.03746,0.03151,0.04342
"A09","K64",0.04625,0.04051,0.05199
"A09","K66",0.00888,0.00576,0.01201
"A09","K76",0.01892,0.01501,0.02284
"A09","K80",0.00161,-0.00251,0.00574
"A09","K81",0.00163,-0.00013,0.00338
"A09","K83",0.00924,0.00658,0.0119
"A09","K92",0.06338,0.05708,0.06968
"A09","L03",0.00859,0.00548,0.01169
"A09","L57",-0.00324,-0.00484,-0.00164
"A09","L72",-0.00703,-0.00824,-0.00582
"A09","L82",-0.0028,-0.00433,-0.00128
"A09","L90",-0.00247,-0.00385,-0.00109
"A09","L98",-0.00079,-0.00309,0.00152
"A09","M06",-0.00027,-0.00268,0.00214
"A09","M13",-0.00488,-0.00952,-0.00024
"A09","M15",-0.0042,-0.00678,-0.00161
"A09","M16",-0.01781,-0.02102,-0.0146
"A09","M17",-0.0253,-0.02899,-0.02161
"A09","M19",0.00562,-0.00021,0.01146
"A09","M20",-0.01875,-0.02077,-0.01672
"A09","M23",-0.01652,-0.01822,-0.01483
"A09","M25",0.00181,-0.00236,0.00599
"A09","M35",0.00147,-0.00093,0.00386
"A09","M43",-0.00142,-0.0031,0.00027
"A09","M47",-0.00033,-0.00388,0.00322
"A09","M48",0.00374,0.00091,0.00657
"A09","M51",-0.00408,-0.00683,-0.00133
"A09","M54",0.01305,0.00811,0.01799
"A09","M65",-0.00717,-0.00885,-0.0055
"A09","M67",-0.00443,-0.00573,-0.00313
"A09","M75",-0.01129,-0.01339,-0.0092
"A09","M79",0.00642,0.00202,0.01082
"A09","M81",0.00549,0.001,0.00999
"A09","M85",0.00704,0.00409,0.00998
"A09","N13",0.00726,0.00473,0.00978
"A09","N17",0.07083,0.06499,0.07668
"A09","N18",0.01908,0.01496,0.02319
"A09","N20",-0.00059,-0.00215,0.00098
"A09","N28",0.00822,0.00575,0.01068
"A09","N30",-0.00189,-0.00328,-5e-04
"A09","N32",-0.00087,-0.00321,0.00148
"A09","N39",0.03572,0.02986,0.04157
"A09","N73",0.00048,-0.00143,0.0024
"A09","N80",-0.00246,-0.00383,-0.00108
"A09","N81",-0.01741,-0.02033,-0.01449
"A09","N83",0.00083,-0.00179,0.00346
"A09","N84",-0.01422,-0.01652,-0.01192
"A09","N85",-0.0072,-0.00897,-0.00543
"A09","N88",-0.00238,-0.00352,-0.00124
"A09","N90",-0.00179,-0.00335,-0.00023
"A09","N92",-0.01111,-0.01279,-0.00944
"A09","N93",0.00013,-0.00131,0.00157
"A09","N94",-0.00089,-0.0023,0.00051
"A09","N95",-0.01435,-0.01661,-0.01209
"A09","O68",-0.00046,-0.00054,-0.00038
"A09","O70",-0.00043,-0.00051,-0.00035
"A41","A09",0.11663,0.10449,0.12877
"A41","B37",0.08008,0.07048,0.08969
"A41","B95",0.05209,0.0445,0.05968
"A41","B96",0.13525,0.12336,0.14714
"A41","C18",0.00025,-0.00265,0.00314
"A41","C34",0.00031,-0.00256,0.00318
"A41","C44",-0.01997,-0.02312,-0.01682
"A41","C50",-0.01696,-0.02292,-0.01099
"A41","C77",0.03801,0.02923,0.04679
"A41","C78",0.06982,0.05957,0.08008
"A41","C79",0.06985,0.0601,0.0796
"A41","D05",-0.00473,-0.00682,-0.00264
"A41","D12",-0.02205,-0.02571,-0.01838
"A41","D17",-0.00422,-0.00633,-0.00212
"A41","D22",-0.00576,-0.00717,-0.00435
"A41","D23",-0.0033,-0.00481,-0.00178
"A41","D25",-0.01032,-0.01413,-0.00651
"A41","D50",0.00767,0.00132,0.01402
"A41","D64",0.08482,0.07373,0.09592
"A41","D70",1,0.9722,1.0278
"A41","E03",-0.0223,-0.02915,-0.01544
"A41","E04",-0.00177,-0.00386,0.00032
"A41","E05",0.00256,-0.00052,0.00564
"A41","E11",-9e-04,-0.00664,0.00485
"A41","E55",0.00969,0.00565,0.01373
"A41","E66",0.00144,-0.00652,0.00941
"A41","E78",-0.03644,-0.04364,-0.02924
"A41","E83",0.07536,0.06609,0.08464
"A41","E86",0.10429,0.09412,0.11446
"A41","E87",0.20167,0.18784,0.2155
"A41","F05",0.04975,0.04383,0.05567
"A41","F10",0.00056,-0.00216,0.00329
"A41","F17",-0.01399,-0.01918,-0.0088
"A41","F32",0.00075,-0.00708,0.00857
"A41","F41",0.00698,-0.00058,0.01454
"A41","G40",0.00306,-0.00019,0.00631
"A41","G43",-0.00249,-0.0065,0.00153
"A41","G47",-0.00149,-0.00419,0.0012
"A41","G55",-0.00573,-0.00838,-0.00308
"A41","G56",-0.01561,-0.0184,-0.01282
"A41","H02",-0.00685,-0.0093,-0.00441
"A41","H04",-0.00301,-0.00552,-0.00049
"A41","H25",-0.03543,-0.03972,-0.03114
"A41","H26",-0.03782,-0.04307,-0.03257
"A41","H35",-0.0089,-0.0124,-0.00541
"A41","H40",-0.01168,-0.01447,-0.00889
"A41","H52",-0.01074,-0.01342,-0.00805
"A41","H53",0.00495,0.00049,0.00942
"A41","H91",0.00348,-0.00107,0.00803
"A41","I08",0.01547,0.01102,0.01993
"A41","I10",-0.04143,-0.05516,-0.02769
"A41","I20",-0.01547,-0.01831,-0.01263
"A41","I21",0.00665,0.00298,0.01032
"A41","I25",-0.00249,-0.00806,0.00307
"A41","I26",0.03621,0.02934,0.04308
"A41","I34",0.00745,0.00345,0.01145
"A41","I35",0.00535,0.00172,0.00898
"A41","I44",0.00017,-0.00317,0.00352
"A41","I47",0.00614,0.00228,0.00999
"A41","I48",0.04462,0.03672,0.05252
"A41","I49",0.00099,-0.00236,0.00435
"A41","I50",0.04024,0.03392,0.04655
"A41","I51",0.02496,0.01939,0.03053
"A41","I63",0.00175,-0.00113,0.00463
"A41","I67",0.01257,0.00833,0.01681
"A41","I73",0.00489,0.00056,0.00923
"A41","I80",0.02089,0.01553,0.02625
"A41","I83",-0.00897,-0.01092,-0.00702
"A41","I84",-0.02368,-0.02726,-0.0201
"A41","I95",0.10737,0.09654,0.1182
"A41","J18",0.18571,0.17236,0.19906
"A41","J22",0.0832,0.07315,0.09325
"A41","J34",-0.00337,-0.00515,-0.00158
"A41","J44",0.00238,-0.00246,0.00723
"A41","J45",-0.03892,-0.04463,-0.0332
"A41","J47",0.00612,0.00231,0.00994
"A41","J90",0.12081,0.10947,0.13215
"A41","J96",0.06866,0.06043,0.07688
"A41","J98",0.0691,0.06001,0.07819
"A41","K02",-0.00301,-0.00469,-0.00133
"A41","K13",0.00425,0.00064,0.00786
"A41","K20",-0.00744,-0.01082,-0.00405
"A41","K21",-0.02107,-0.02946,-0.01269
"A41","K22",-0.00458,-0.00894,-0.00022
"A41","K25",-0.00517,-0.00733,-0.00301
"A41","K29",-0.0386,-0.04555,-0.03164
"A41","K30",-0.0126,-0.0167,-0.0085
"A41","K31",-0.00702,-0.01216,-0.00188
"A41","K43",0.00449,0.00118,0.00781
"A41","K44",-0.03867,-0.04493,-0.03242
"A41","K52",0.02264,0.01482,0.03046
"A41","K56",0.03721,0.02993,0.04448
"A41","K57",-0.04063,-0.04855,-0.03272
"A41","K58",-0.0106,-0.01461,-0.0066
"A41","K59",0.08834,0.07665,0.10004
"A41","K62",-0.02252,-0.02709,-0.01795
"A41","K63",-0.01243,-0.01866,-0.0062
"A41","K64",-0.00706,-0.01261,-0.0015
"A41","K66",0.0127,0.00731,0.01809
"A41","K76",0.02886,0.02203,0.03569
"A41","K80",0.01427,0.00742,0.02112
"A41","K81",0.00836,0.00489,0.01184
"A41","K83",0.03862,0.0321,0.04513
"A41","K92",0.01893,0.01202,0.02584
"A41","L03",0.0459,0.03836,0.05344
