"expo","outcome","mean","low95ci","up95ci"
"A04","A09",0.03961,0.02277,0.05646
"A04","A41",0.07961,0.05666,0.10256
"A04","B37",0.03041,0.0188,0.04202
"A04","B95",0.03131,0.01972,0.04289
"A04","B96",0.04293,0.02811,0.05776
"A04","C18",-0.00491,-0.00902,-0.00081
"A04","C34",0.00058,-0.00487,0.00602
"A04","C44",-0.02682,-0.03515,-0.01849
"A04","C61",-0.02451,-0.03429,-0.01473
"A04","C67",-0.00098,-0.0065,0.00453
"A04","C77",0.0047,-0.00503,0.01443
"A04","C78",0.02672,0.01254,0.04089
"A04","C79",0.00173,-0.00572,0.00919
"A04","D12",-0.00934,-0.02308,0.00441
"A04","D17",-0.00368,-0.00956,0.0022
"A04","D22",-0.00619,-0.00696,-0.00542
"A04","D23",-0.00066,-0.00471,0.00339
"A04","D50",0.03703,0.02197,0.05209
"A04","D64",0.04909,0.03213,0.06605
"A04","D69",0.0109,0.0031,0.01869
"A04","D70",0.04045,0.02468,0.05621
"A04","E03",-0.01233,-0.01722,-0.00744
"A04","E10",-0.00252,-0.00549,0.00044
"A04","E11",-0.01958,-0.03617,-0.00299
"A04","E14",-0.00386,-0.00799,0.00027
"A04","E66",-0.01196,-0.02575,0.00183
"A04","E78",-0.0299,-0.05252,-0.00728
"A04","E83",0.02704,0.01551,0.03858
"A04","E86",0.08579,0.0667,0.10489
"A04","E87",0.08538,0.06458,0.10617
"A04","F05",0.01529,0.00604,0.02455
"A04","F10",-0.00678,-0.0134,-0.00015
"A04","F17",-0.01407,-0.02676,-0.00138
"A04","F32",0.00052,-0.01168,0.01272
"A04","F41",-0.00075,-0.01073,0.00924
"A04","G40",-0.00045,-0.00533,0.00443
"A04","G45",-0.00192,-0.00647,0.00263
"A04","G47",-0.00358,-0.0118,0.00464
"A04","G55",0.00129,-0.00698,0.00956
"A04","G56",-0.00955,-0.01441,-0.00469
"A04","G81",-0.00041,-0.00467,0.00385
"A04","H02",-0.0079,-0.01238,-0.00341
"A04","H25",-0.02375,-0.0328,-0.0147
"A04","H26",-0.02023,-0.03109,-0.00937
"A04","H33",-0.00328,-0.00851,0.00195
"A04","H35",0.00078,-0.00707,0.00862
"A04","H36",-0.00436,-0.00767,-0.00105
"A04","H40",-0.01078,-0.01717,-0.00439
"A04","H52",-0.00689,-0.0121,-0.00168
"A04","H53",-0.00029,-0.00605,0.00547
"A04","H91",0.00383,-0.00552,0.01317
"A04","I08",0.00681,-0.00077,0.01439
"A04","I10",-0.02421,-0.06179,0.01336
"A04","I20",-0.00956,-0.02279,0.00368
"A04","I21",-0.01274,-0.02172,-0.00377
"A04","I24",-0.00409,-0.00782,-0.00037
"A04","I25",-0.02672,-0.04416,-0.00928
"A04","I26",0.00966,-0.00047,0.0198
"A04","I34",0.00057,-0.00542,0.00656
"A04","I35",-0.00172,-0.0098,0.00635
"A04","I44",0.00143,-0.00988,0.01273
"A04","I45",-0.00121,-0.00846,0.00603
"A04","I47",0.00018,-0.00575,0.00612
"A04","I48",0.00218,-0.01451,0.01888
"A04","I49",0.0041,-0.00488,0.01309
"A04","I50",0.00896,-0.00219,0.02011
"A04","I51",0.0138,-0.00012,0.02773
"A04","I63",-0.00313,-0.00959,0.00333
"A04","I67",0.00342,-0.00636,0.0132
"A04","I70",0.00208,-0.00285,0.00701
"A04","I71",0.00072,-0.00581,0.00725
"A04","I73",3e-04,-0.00696,0.00757
"A04","I80",0.00044,-0.00569,0.00657
"A04","I83",0.00391,-0.00477,0.0126
"A04","I84",-0.02098,-0.02854,-0.01341
"A04","I95",0.03649,0.02213,0.05086
"A04","J18",0.05615,0.0369,0.07541
"A04","J22",0.01715,0.00597,0.02833
"A04","J33",-0.00278,-0.00655,0.00099
"A04","J34",0.0026,-0.00581,0.01102
"A04","J43",0.00381,-0.00177,0.0094
"A04","J44",-0.00627,-0.01555,0.00301
"A04","J45",-0.01979,-0.0333,-0.00629
"A04","J47",0.00296,-0.0025,0.00843
"A04","J90",0.02696,0.01461,0.03931
"A04","J96",0.01927,0.0083,0.03024
"A04","J98",0.0152,0.00467,0.02573
"A04","K02",-0.00242,-0.00719,0.00234
"A04","K13",-0.00344,-0.00634,-0.00053
"A04","K20",0.03527,0.0203,0.05023
"A04","K21",0.08521,0.05872,0.1117
"A04","K22",0.03719,0.02071,0.05367
"A04","K25",0.01771,0.00658,0.02884
"A04","K26",0.01793,0.0072,0.02867
"A04","K29",0.07603,0.051,0.10105
"A04","K30",0.01661,0.00622,0.02699
"A04","K31",0.02177,0.00933,0.0342
"A04","K40",-0.03109,-0.04218,-0.01999
"A04","K42",-0.00175,-0.00958,0.00608
"A04","K43",0.01208,0.00247,0.02168
"A04","K44",0.08465,0.06055,0.10876
"A04","K51",0.00473,-0.00238,0.01184
"A04","K52",0.00905,-0.00233,0.02043
"A04","K56",0.02721,0.01479,0.03963
"A04","K57",-0.00506,-0.02456,0.01444
"A04","K58",0.0049,-0.00191,0.01172
"A04","K59",0.02102,0.00639,0.03564
"A04","K60",0.00042,-0.00472,0.00556
"A04","K62",-0.00489,-0.01968,0.00989
"A04","K63",0.00017,-0.01596,0.01631
"A04","K64",0.01493,0.00081,0.02906
"A04","K66",0.00765,-0.00059,0.01589
"A04","K76",0.01407,0.00354,0.0246
"A04","K80",0.01016,-0.00122,0.02154
"A04","K92",0.03499,0.01729,0.0527
"A04","L02",-0.00054,-0.00447,0.00339
"A04","L03",0.00178,-0.00757,0.01112
"A04","L30",-7e-05,-0.0056,0.00546
"A04","L40",0.00044,-0.00557,0.00646
"A04","L57",-0.00515,-0.01051,0.00022
"A04","L72",-0.0086,-0.01136,-0.00585
"A04","L82",-0.00595,-0.00945,-0.00245
